iter	Passed	Remaining
0	0	89
1	1	78
2	2	70
3	2	64
4	3	62
5	3	60
6	4	58
7	4	57
8	5	55
9	6	54
10	6	54
11	7	53
12	7	52
13	8	51
14	8	50
15	9	49
16	10	48
17	10	48
18	11	47
19	11	46
20	12	46
21	12	45
22	13	45
23	14	44
24	14	44
25	15	43
26	15	42
27	16	41
28	16	41
29	17	40
30	17	39
31	18	39
32	18	38
33	19	38
34	20	37
35	20	37
36	21	36
37	22	35
38	22	35
39	23	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	31
45	26	30
46	26	30
47	27	29
48	27	29
49	28	28
50	28	27
51	29	27
52	30	26
53	30	26
54	31	25
55	31	25
56	32	24
57	32	23
58	33	23
59	33	22
60	34	22
61	35	21
62	35	20
63	36	20
64	36	19
65	37	19
66	37	18
67	38	18
68	39	17
69	39	17
70	40	16
71	41	15
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	45	11
79	45	11
80	46	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	51	5
90	51	5
91	52	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	56	0
99	56	0
